method,sigma_est_db,qos,qos_u,R_tail,R_tail_u,P_fair,P_fair_u,jain,jain_u,gini,gini_u,entropy,entropy_u,F,F_u,qos_degr_pct,F_degr_pct
Baseline RMAL,0.0,0.5557421875,0.002686373252081549,19.54202967371346,0.634773232076402,26.720752848430653,0.43703778732815396,0.8395285045760229,0.004311681055958801,0.23212382906010456,0.004213188740345603,0.9031009659989684,0.003141441185486166,-0.07256811624057313,0.019568246689078594,0.0,-0.0
Baseline RMAL,1.0,0.55309375,0.0027380195491783278,18.777972678969935,0.6546003802652378,25.660200582626725,0.4317264575621802,0.8494824787369069,0.003948281138905718,0.223984609884507,0.003945995883692991,0.9108905865892772,0.002804640702196812,-0.06347947178855977,0.022694359393907307,-0.47655865607647235,-12.524294308375426
Baseline RMAL,2.0,0.553609375,0.0025917641359000667,19.629827468050685,0.6668885056251238,26.062766353064063,0.48898774745130696,0.8448411903884111,0.004538771844909338,0.22824976920082712,0.0044319212105239925,0.9075021492353287,0.0031834697353563734,-0.048348483667112536,0.02193579358602136,-0.38377732480496285,-33.37503276668948
Baseline RMAL,3.0,0.56142578125,0.0037783557819823397,18.744482058481953,0.7221596004387268,26.21264297403159,0.3853419992247405,0.8471106119412477,0.0032905968399320738,0.223916913876391,0.0036492850515800718,0.9089038287853446,0.002271680466164512,-0.08051096280998771,0.019431816185411694,1.022703310606582,10.945366892373178
Baseline RMAL,5.0,0.562625,0.0030693981785172905,19.354302344153314,0.7197268961178389,26.01658041434939,0.4677816776483613,0.8484483391448482,0.004017104078244332,0.2255268534449526,0.003968123953115656,0.9106056644365002,0.00272043932816666,-0.05328843567320256,0.023143059492011318,1.238490194700218,-26.567701583235014
BPBO-RMAL,0.0,0.9181640625,0.00212016286695902,64.10601632415542,1.0556488002736772,15.868354261670708,0.6842514640013967,0.9809445099112455,0.0013854463828392217,0.07138612634016303,0.003010956261662748,0.9909433169252544,0.0006693812036544312,1.8833712874994901,0.03322775083290084,0.0,0.0
BPBO-RMAL,1.0,0.9198203125,0.0034138149553804655,64.48298276952876,1.0229894427647241,17.038276167925797,0.8662805204495501,0.977760856912808,0.0019914215056760815,0.07662962937015227,0.003703222010024389,0.9895099977582873,0.0009371022686083722,1.8574363138034322,0.04316397746038318,0.18038715166984817,-1.3770504981251568
BPBO-RMAL,2.0,0.9162773437499998,0.0021589025245600797,63.57947100661181,1.043543120108129,14.72737955245814,0.6550402893716761,0.9832395214738412,0.0013364366099242332,0.06577218056363932,0.002890220954913484,0.9920670960418377,0.0006392585066970172,1.9032862515967892,0.040146848715395214,-0.20548819400130225,1.0574104123536758
BPBO-RMAL,3.0,0.9236406250000002,0.0026515335672801627,64.04563779669684,0.8685973362062106,15.994096497275692,0.8872711271654402,0.9804456637149362,0.0018843956261885386,0.0711248915047434,0.003921910768399047,0.9907492351778837,0.0009100960227033535,1.8788102308140384,0.032828859718105625,0.596468836417802,-0.24217512052587975
BPBO-RMAL,5.0,0.9229062500000002,0.0027982176085600942,65.09944984916004,0.7919709038715804,17.88173780011117,0.8748169774845375,0.9760873684950557,0.0019974727075415333,0.07973588229402262,0.0037789076454273563,0.9886752560429442,0.0009523832526841679,1.850795609968295,0.034275039792653436,0.5164858540736128,-1.729647135825521
Q-learning+HHO,0.0,0.47973828125000006,0.0050452194096591635,11.9320625050794,1.0574087008747375,15.291823197804652,0.5409637438520111,0.9265870596032462,0.004240492356234112,0.14544541547153428,0.0052173164681880565,0.962778672040735,0.002305394326848435,0.03192946128415828,0.03374457717454964,0.0,0.0
Q-learning+HHO,1.0,0.47035937499999997,0.004101961023068799,11.372573616419151,0.9315785325259675,12.644541345244035,0.525461861709031,0.9453875281333151,0.0040366510833758,0.12343529478659754,0.0053033420512155404,0.9725054213848026,0.0022491812256994325,0.09870888820583719,0.02990185586172037,-1.9550047633394056,209.1467385790544
Q-learning+HHO,2.0,0.4633828125,0.005168063117815373,9.01653904479839,0.9464278559399634,13.234196421413083,0.5799239571153771,0.9381044656161333,0.005144945298248411,0.13042859347078595,0.0058810506142600244,0.9690308590259878,0.0026674149988918025,-0.0015737354704897012,0.04110351963583049,-3.4092482066230865,-104.9287880446342
Q-learning+HHO,3.0,0.47494140625000003,0.005147205449822583,10.961430420813084,1.115776839399944,12.791564976084569,0.5666506172290569,0.9450190263115115,0.0044500698884473505,0.12235916498351591,0.0054623496882985675,0.9726544785805062,0.0023521341413666606,0.0814779366992839,0.042131318163822,-0.9998941480136536,155.18105668669384
Q-learning+HHO,5.0,0.46958593749999994,0.0056027274228557375,10.502581216940282,0.9381081739336528,13.346264932696005,0.5955578595052402,0.9381562692322302,0.0049202308374297005,0.13021161780892435,0.00613694681968431,0.9689783099873344,0.002649241996227308,0.04608632405814255,0.03521301849313808,-2.116225481015879,44.33793181787305
