output,parameter,kind,S1,ST,ST_conf
qos,u_SINR (dB),meas,0.04350250679069077,0.06841099706729054,0.047084503654269014
qos,u_RSS/power (dB),meas,0.021486720382263756,0.06365399410517705,0.03636092346125559
qos,u_location (m),meas,0.017606612748339454,0.08470144479374402,0.04518250675922642
qos,u_channel (dB),meas,0.04534891991146733,0.06127673241964122,0.03956702573112214
qos,QoS threshold,meas,0.34747616141694765,0.6746265210857022,0.26472173930932397
qos,eps_init,learn,-0.10051965546647607,0.6763859868948826,0.22643249894398174
qos,eps_min,learn,0.12438420813126581,0.2548503127876018,0.10192467922740679
qos,eps_decay,learn,0.03359907930887862,0.06968515681208289,0.03699493709844246
qos,C_beta,learn,-0.11776342087876923,0.5335551289887672,0.22925006996699357
qos,phi_beta,learn,-0.1739823631024878,0.4600262370471446,0.2236851818487838
qos,w_sinr,learn,-0.07720104215647165,0.6040856193183749,0.25759502889620073
qos,w_fair,learn,-0.1298943381970704,0.6171616952655953,0.2414551565113867
qos,w_power,learn,0.0737182615018086,0.4894163966440936,0.2080033110999041
P_fair,u_SINR (dB),meas,-0.02242077516190789,0.0914621997669019,0.039240103377938304
P_fair,u_RSS/power (dB),meas,-0.025982871801005676,0.0669863887402753,0.030470188184212786
P_fair,u_location (m),meas,-0.049339132747372026,0.09834309011972288,0.05849187156964314
P_fair,u_channel (dB),meas,0.024085181164065616,0.08297106937427463,0.04580084265318357
P_fair,QoS threshold,meas,-0.056669196234865805,0.7592704623214723,0.37921659349826753
P_fair,eps_init,learn,-0.31962534356560274,1.4291572808027806,0.6915849708131827
P_fair,eps_min,learn,0.03223795250415679,0.6362322654368158,0.44100717894377717
P_fair,eps_decay,learn,-0.002828260616100188,0.06904983133896203,0.031736597828231614
P_fair,C_beta,learn,-0.09687958888636353,0.809743298594332,0.29391495214222907
P_fair,phi_beta,learn,-0.04118529096778445,0.9410686798899207,0.3457232081412164
P_fair,w_sinr,learn,0.13754456410361512,0.9472532964538551,0.29835884266486185
P_fair,w_fair,learn,0.017953249454633165,1.1336854612483236,0.4444948109226054
P_fair,w_power,learn,-0.17406827826834764,0.5572991106507755,0.29099104061488723
R_tail,u_SINR (dB),meas,-0.039022491857816956,0.11389554045715213,0.06294659852647193
R_tail,u_RSS/power (dB),meas,-0.010488630115838879,0.12875054971631197,0.10259656056992705
R_tail,u_location (m),meas,-0.0021298044951129857,0.14762890243275262,0.08698511598488566
R_tail,u_channel (dB),meas,-0.02040926789188214,0.10333944961457484,0.08208817257691163
R_tail,QoS threshold,meas,-0.04538725055620302,0.5555070143842887,0.22180646136613316
R_tail,eps_init,learn,-0.23007549518696066,0.8229501628909976,0.3090835673277176
R_tail,eps_min,learn,0.08827025881062067,0.331323200602804,0.15526202820741009
R_tail,eps_decay,learn,-0.08297989468360988,0.11957192467116516,0.07176593378710734
R_tail,C_beta,learn,-0.155176615861451,0.6062212155359394,0.2794298588662142
R_tail,phi_beta,learn,-0.2855148981996423,0.6114059251649687,0.3125327311102737
R_tail,w_sinr,learn,-0.13854161830762868,0.8065189992246661,0.33622874699579736
R_tail,w_fair,learn,-0.34389038671243527,0.8017908030203312,0.34917474074827665
R_tail,w_power,learn,-0.04576556039055354,0.5409100536028318,0.2271792709429785
F,u_SINR (dB),meas,-0.06412681472967459,0.11072318016035858,0.05723479586687862
F,u_RSS/power (dB),meas,0.027641474228815518,0.08680121676126544,0.05519997410852574
F,u_location (m),meas,-0.03646539323777,0.1142413996092063,0.06163178271034834
F,u_channel (dB),meas,0.014840266578681217,0.06701192257310268,0.022457035124719336
F,QoS threshold,meas,0.11242698258113963,0.6374096846952145,0.20869641940173103
F,eps_init,learn,0.014414082203883375,1.0425709150435343,0.3456855066039652
F,eps_min,learn,0.10885789545495309,0.4092227236860789,0.2431391231452973
F,eps_decay,learn,-0.01972721834075559,0.10618055405636807,0.0463612617175941
F,C_beta,learn,0.027170215222234558,0.6746775975502726,0.21997962074249994
F,phi_beta,learn,-0.07496190884844842,0.8259087975191035,0.29684372681928334
F,w_sinr,learn,0.21193951876276018,0.8606926620106145,0.28018431519414705
F,w_fair,learn,0.08112398454196726,0.9580612338287432,0.32762469910389325
F,w_power,learn,0.20541257718963576,0.6369765108689149,0.21566428872893148
